"id","geometry","bbox","names","version","updatetime","sources","categories","confidence","websites","socials","emails","phones","brand","addresses","type"
"218426022140121","00 00 00 00 01 c0 4a 4f 65 88 1a 15 55 c0 3b 17 11 b6 0a e9 68","{minx=-52.620286, maxx=-52.620286, miny=-27.090114, maxy=-27.090114}","{common=[{value=Atacadão Móveis Chapecó, language=local}], official=null, alternate=null, short=null}","0","2023-12-10T00:00:00.000","[{property=, dataset=meta, recordid=218426022140121, confidence=null}]","{main=furniture_store, alternate=[retail, cinema]}","0.9380597014925374",,"[https://www.facebook.com/218426022140121]",,"[+5549991804440]","{names={common=[{value=Atacadão Móveis Chapecó, language=local}], official=null, alternate=null, short=null}, wikidata=null}","[{freeform=Avenida Fernando Machado, 1729, locality=Chapecó, postcode=89802-112, region=SC, country=BR}]","place"
"632504670705712","00 00 00 00 01 c0 4a 4f ad 64 51 b9 30 c0 3b 16 97 28 a6 11 77","{minx=-52.622479, maxx=-52.622479, miny=-27.088244, maxy=-27.088244}","{common=[{value=Irmãos Tolotti Mecânica e Chapeação, language=local}], official=null, alternate=null, short=null}","0","2023-12-10T00:00:00.000","[{property=, dataset=meta, recordid=632504670705712, confidence=null}]","{main=automotive_repair, alternate=[auto_company, auto_manufacturers_and_distributors]}","0.6390977443609023",,"[https://www.facebook.com/632504670705712]",,"[+554933225412]","{names={common=[{value=Irmãos Tolotti, language=local}], official=null, alternate=null, short=null}, wikidata=null}","[{freeform=Rua Imperatriz Leopoldina, 62E, locality=Chapecó, postcode=89803-060, region=SC, country=BR}]","place"
"1439752582773466","00 00 00 00 01 c0 4a 4f a1 51 f4 bf 5a c0 3b 16 a8 63 60 f8 68","{minx=-52.6221106, maxx=-52.6221106, miny=-27.0885069, maxy=-27.0885069}","{common=[{value=Joaçaba Pneus, language=local}], official=null, alternate=null, short=null}","0","2023-12-10T00:00:00.000","[{property=, dataset=meta, recordid=1439752582773466, confidence=null}]","{main=automotive_repair, alternate=[tire_dealer_and_repair, automotive_parts_and_accessories]}","0.9380597014925374","[http://www.joacabapneus.com.br]","[https://www.facebook.com/1439752582773466]",,"[+554933312000]","{names={common=[{value=Joaçaba Pneus, language=local}], official=null, alternate=null, short=null}, wikidata=null}","[{freeform=Rua João Martins, 681D, locality=Chapecó, postcode=89803-040, region=SC, country=BR}]","place"
"113487390400744","00 00 00 00 01 c0 4a 4f 77 69 c3 e8 f8 c0 3b 16 d1 5e 2c 05 42","{minx=-52.6208317, maxx=-52.6208317, miny=-27.0891322, maxy=-27.0891322}","{common=[{value=Lar De Jesus, language=local}], official=null, alternate=null, short=null}","0","2023-12-10T00:00:00.000","[{property=, dataset=meta, recordid=113487390400744, confidence=null}]","{main=church_cathedral, alternate=[evangelical_church]}","0.9380597014925374","[http://www.lardejesus.com.br]","[https://www.facebook.com/113487390400744]",,"[+554933225263]","{names={common=[{value=Lar De Jesus, language=local}], official=null, alternate=null, short=null}, wikidata=null}","[{freeform=Avenida Fernando Machado, 1893D, locality=Chapecó, postcode=89802-112, region=SC, country=BR}]","place"
"122096959952016766","00 00 00 00 01 c0 4a 4f 44 ac d8 3a bf c0 3b 16 d3 ee 29 3d e7","{minx=-52.6192833, maxx=-52.6192833, miny=-27.0891713, maxy=-27.0891713}","{common=[{value=Contassesc Contabilidade, language=local}], official=null, alternate=null, short=null}","0","2023-12-10T00:00:00.000","[{property=, dataset=meta, recordid=122096959952016766, confidence=null}]","{main=accountant, alternate=[financial_service]}","0.5053533190578159",,"[https://www.facebook.com/122096959952016766]",,"[+554933226039]","{names={common=[{value=Contassesc Contabilidade, language=local}], official=null, alternate=null, short=null}, wikidata=null}","[{freeform=Rua Sicília, 65, locality=Chapecó, postcode=89805-020, region=SC, country=BR}]","place"
"110009438046557","00 00 00 00 01 c0 4a 4f 7b e6 2a 6b e4 c0 3b 16 7a d7 36 b3 1a","{minx=-52.6209686, maxx=-52.6209686, miny=-27.0878119, maxy=-27.0878119}","{common=[{value=Top Car, language=local}], official=null, alternate=null, short=null}","0","2023-12-10T00:00:00.000","[{property=, dataset=meta, recordid=110009438046557, confidence=null}]","{main=car_dealer, alternate=[auto_company, automotive_dealer]}","0.9380597014925374",,"[https://www.facebook.com/110009438046557]",,"[+554939811000]","{names={common=[{value=Top Car, language=local}], official=null, alternate=null, short=null}, wikidata=null}","[{freeform=Avenida Fernando Machado, 2024D, locality=Chapecó, postcode=89802-112, region=SC, country=BR}]","place"
"2054689801439791","00 00 00 00 01 c0 4a 4f 3d 07 c8 4b 5e c0 3b 16 83 e4 25 ae e6","{minx=-52.61905, maxx=-52.61905, miny=-27.08795, maxy=-27.08795}","{common=[{value=Goodyear Brasil, language=local}], official=null, alternate=null, short=null}","0","2023-12-10T00:00:00.000","[{property=, dataset=meta, recordid=2054689801439791, confidence=null}]","{main=automotive_repair, alternate=[storage_facility, automotive_parts_and_accessories]}","0.5851272015655578","[https://www.dpaschoal.com.br/]","[https://www.facebook.com/2054689801439791]",,"[+554933116000]","{names={common=[{value=Goodyear, language=local}], official=null, alternate=null, short=null}, wikidata=null}","[{freeform=Avenida Getúlio Dorneles Vargas, 1841, locality=Chapecó, postcode=89802-001, region=SC, country=BR}]","place"
"109612200970785","00 00 00 00 01 c0 4a 4f 3d 07 c8 4b 5e c0 3b 16 83 e4 25 ae e6","{minx=-52.61905, maxx=-52.61905, miny=-27.08795, maxy=-27.08795}","{common=[{value=Luna Kids, language=local}], official=null, alternate=null, short=null}","0","2023-12-10T00:00:00.000","[{property=, dataset=meta, recordid=109612200970785, confidence=null}]","{main=children's_clothing_store, alternate=null}","0.5851272015655578",,"[https://www.facebook.com/109612200970785]",,"[+5549991264957]","{names={common=[{value=Luna Kids, language=local}], official=null, alternate=null, short=null}, wikidata=null}","[{freeform=Avenida Getúlio Dorneles Vargas, locality=Chapecó, postcode=89.805-000, region=SC, country=BR}]","place"
"103032901902366","00 00 00 00 01 c0 4a 4e f9 53 3d 94 b6 c0 3b 17 3b bb 97 f1 23","{minx=-52.6169838, maxx=-52.6169838, miny=-27.0907552, maxy=-27.0907552}","{common=[{value=Engenharia do Corpo Chapecó, language=local}], official=null, alternate=null, short=null}","0","2023-12-10T00:00:00.000","[{property=, dataset=meta, recordid=103032901902366, confidence=null}]","{main=gym, alternate=null}","0.9380597014925374","[https://www.engenhariadocorpo.com.br/]","[https://www.facebook.com/103032901902366]",,"[+554999669787]","{names={common=[{value=Engenharia Do Corpo, language=local}], official=null, alternate=null, short=null}, wikidata=null}","[{freeform=Rua Paulo Marques, 114, locality=Chapecó, postcode=89803-010, region=SC, country=BR}]","place"
"111147240432708","00 00 00 00 01 c0 4a 4e e2 3f fb 98 92 c0 3b 16 ec 00 6e ba c9","{minx=-52.6162796, maxx=-52.6162796, miny=-27.0895386, maxy=-27.0895386}","{common=[{value=Fascino Homeware, language=local}], official=null, alternate=null, short=null}","0","2023-12-10T00:00:00.000","[{property=, dataset=meta, recordid=111147240432708, confidence=null}]","{main=retail, alternate=null}","0.8240165631469979",,"[https://www.facebook.com/111147240432708]",,"[+554933302700]","{names={common=[{value=Fascino Homeware, language=local}], official=null, alternate=null, short=null}, wikidata=null}","[{freeform=Avenida Nereu Ramos, 1710E, locality=Chapecó, postcode=89805-100, region=SC, country=BR}]","place"
"100610601725728","00 00 00 00 01 c0 4a 4e d8 9b 37 28 8b c0 3b 17 78 17 68 d2 51","{minx=-52.6159853, maxx=-52.6159853, miny=-27.0916762, maxy=-27.0916762}","{common=[{value=Bicudo Lanches, language=local}], official=null, alternate=null, short=null}","0","2023-12-10T00:00:00.000","[{property=, dataset=meta, recordid=100610601725728, confidence=null}]","{main=fast_food_restaurant, alternate=[cafetaria, cafe]}","0.9380597014925374",,"[https://www.facebook.com/100610601725728]",,"[+5549998343971]","{names={common=[{value=Bicudo Lanches, language=local}], official=null, alternate=null, short=null}, wikidata=null}","[{freeform=Avenida Nereu Ramos, 1441E, locality=Chapecó, postcode=89801-021, region=SC, country=BR}]","place"
